"","ix","condition","input_a","label_a","input_b","label_b","feedback"
"83",110,"combine","The stripes effect the length of the sticks. 1 stripe is no change 2 stripes is +2 and 3 stripes is +1.","complex","The stripes make the sticks longer and the dots make them shorter again. It does not matter where the dots sit on the egg they always make the stick shorter.","complex","na"
"84",111,"combine","two boxes are added if there are more than one stripe","add_2","The more dots in the circle the more sticks disappear so if there is one dot only one stick disappears but if there are three then three disappear","subtraction","None"
"85",112,"construct","its the number of stripes in the eggs x the number of segments = equals the new length of stick","mult","The segments increase by the number of dots in the egg","uncertain","None"
"86",113,"construct","single-line does nothing two lines double the length of the stick and three lines triples the length of the stick","mult","same rule for the lines apply except now you take away the number of dots","ground_truth","na"
"87",114,"combine","The stick length after the magic egg has touched them becomes multiplied by the number of stripes on the egg. Eg: 3 stripes on egg touches stick 1 square long it will become 3 squares long (1x3)","mult","Length of stick is multiplied by number of lines on egg then number of spots is subtracted","ground_truth","na"
"88",115,"construct","The number of stripes is a scalar value that is multiplied with the number of segments","mult","The stripes are a scalar that multiples against the number of segments The number of dots are then subtracted from the multiplication of the stripes and segments","ground_truth","Na"
"89",116,"construct","The number of stripes on the egg determines the number the stick will multiply by. For example 3 stripes mean the stick will multiply thrice its size","mult","Stripes multiple the stick by the amount of stripes in the egg. Dots deduct the length of the stick by the amount of dots in the egg","ground_truth","I was not 100 what an empty egg would equate to. Sure it would be zero? But mathematically some sticks would be in the minuses!"
"90",117,"construct","The number of segments in the stick is multiplied by the number of stripes on the egg.  For example if the stick starts off with 2 segments and the egg has 2 stripes once the egg touches the stick the stick will increase to 4 segments (2 x 2 = 4)","mult","The effect on the number of segments in the stick is determined by first multiplying the number of segments by the number of stripes on the egg then secondly subtracting the number of spots.","ground_truth",NA
"91",118,"decon","The number of stripes denotes the type of action - 1 stripe reduces segments 2 stripes changes nothing and 3 stripes adds segments. Then the number of dots denotes how much this is done by - e.g. 1 stripe and 3 dots removes 3 segments","complex","As said before stripes denote action - assumed below 2 removes above 2 adds on and 2 does nothing - dots denote value of action - e.g. how many to add. If not dots present them number of stripes multiplies number of segments","mult","na"
"92",119,"construct","The stick segments are multiplied by the number of stripes.","mult","The segments are multiplied by the number of stripes before subtracting the number of dots.","ground_truth","That was fun!"
"93",120,"construct","the number of segments in the stick is multiplied by the number of lines in the egg","mult","the number of segments in the stick is multiplied by the number of lines in the egg and then the number of dots in the egg is subtracted","ground_truth","na"
"94",121,"decon","eggs with more dots than stripes make the stick shorter eggs with the same amount of each do nothing and eggs with more stripes than dots make the stick bigger.","complex","having 1 stripe will keep it the same unless theres a dot on that stripe then itll shorten the stick the stick will get bigger by 1 for every stripe above 1 on the egg but not if theres a dot on that stripe","complex","nope"
"95",122,"combine","Eggs with 2 stripes make sticks 2 times bigger but the ones with 3 stripes make them only bigger by 1 whereas 1 stripe egg doesnt change anything. This means eggs with 3 stripes always change lenght of the stick the most","complex","The more there are dots in the egg the smaller is the stick","complex","No"
"96",123,"decon","the dots seem to match the number of blocks in the original stick length. the lines seem to match with a unique action. 1 line = remove 2 lines = keep 3 lines = add. The number of blocks to do this action on could be indicated by the number of dots.  e.g. 1line+3dots = remove 3 blocks.  2lines+2dots= keep 2 blocks.  3lines+1 dot = add 1 block.","complex","the lines seem to indicate the multiplication factor of the blocks. i.e. 3 lines = 3x the original blocks. The number of dots seems to indicate the number of blocks to remove after multiplying. e.g. 3lines+1dot applied to a 1-length block = (3x1) -1 = 3-1 = 2","mult","no comments"
"97",124,"combine","The number of stick segments multiply by the number of stripes on the egg","mult","the number of stick sections are multiplied by the number of stripes on the egg; then the same number of sections are removed as there are dots on the egg.","ground_truth","Enjoyed this thank you."
"98",125,"construct","additional sticks make the blocks 2 longer","add_2","3 dots takes 3 away 2 did nothing and 1 added so the less dots the more added","complex","nope just interested in how it did and what the causal link was"
"99",126,"construct","two stripes on the egg doubled the number of segments in the line three stripes trebled the number of segments.","mult","The dots reduce the number of sections on the lines and the lines seem to increase the number of sections.","complex","It was rather difficult to work out the connection."
"100",127,"construct","1 stripe = x 1  2 stripe = x2  3 stripe = x3","mult","I dont think the dots make a difference 1 stripe = no blocks  2 stripe = stay the same 3 stripe = + 1","complex","just wondered if we find out if we got it right or wrong"
"101",128,"decon","more spots there are the smaller the sticks","complex","one stripe stayed the same. 2 strips doubled. 3 stripes added 1more","complex","Didnt make much sense"
"102",129,"combine","Multiplying the number of stripes in the egg with the number of segments that the stick has to begin with equals the final number of segments in the stick after the egg affects it.","mult","The number of stripes in the egg is multiplied by the original number of segments in the stick and then the number of dots is subtracted from that answer to give the total number of segments in the stick at the end. So  of stripes x original number of segments - number of dots = Final number of segments.","ground_truth","I really enjoyed doing this experiment it was a lot of fun!"
"103",130,"decon","If there are more dots on the line you decrease the section of stick by the overall number of dots. If they are the same (on and off the line) it stays the same. If there are more dots off the line you add by that many dots","complex","You multiply the lines in the eggs by how many sections there are in the stick","mult","The quiz at the start needs to be rethought. Some of the questions are not worded nicely and the answers are assumed on common sense rather than obvious in the text."
"104",131,"construct","The more lines the less boxes are added .","complex","The more eggs in the circle the less boxes appear","complex","No"
"105",132,"decon","I believe that the difference in the three is caused by the amount of lines the first was 3 dots to one line so it was over powered and they were gone. the second was equal so they stayed the same and the third had two more lines than the one dot so they gained a green block","complex","i believe the value of the first line is makes no difference to the starting length of the green blocks. its when more are added in that it increases  up to the value of two extra blocks. there could be twenty stripes and it would only increase the value by two","add_2","Thank you"
"106",133,"combine","When the eggs have one strip it stays the same when it has two strips it will be two more when it has 3 strips it goes up two .","add_2","When thy have dots they loss bars .If it has two dots two bars a lost .","complex","It was a fun and different survey and I liked it a lot."
"107",134,"decon","if there are more lines than dots it will increase in size. if there are more dots than lines it will decrease in size. an equal number of dots and lines will results in no change","complex","the lines are multiplicative","mult","no thank you"
"108",135,"construct","middle line means no change and the two on the outside add 2 extra bars","complex","middle dot adds one the left dot minus one and the right down minus 3","complex","na"
"109",136,"combine","1 strip on an egg will not produce any result more than 1 stripe always adds two segments to the stick length","add_2","The balls decrease the length of the stick as per the number of balls present on the eggs. For stripes>1 the length of the stick is increased by two segments","subtraction","None"
"110",137,"decon","spots reduce length by one and stripes adds by one","uncertain","spots make the length shorter by 1-1 and each srtipe over 1 adds one eg 2 stripes adds 1 3 adds 2","complex","none"
"111",138,"construct","At least 2 stripes seen on a magic egg will lengthen the sticks by 2.","add_2","Each dot on the magic eggs gets rid of a section of the stick but 2 or more stripes still adds two sections as before.","add_2","No questions."
"112",139,"combine","Magic eggs with more than one stripe can have an effect on the length of the sticks.","uncertain","The number of spots on a magic egg determines by how many components a stick will shrink. The number of stripes determines by how many components of a length the stick will elongate. If there are spots and stripes on a given egg the effect of the spots takes precedence over the stripes.","subtraction","No."
"113",140,"construct","the number of lines is the number of time the segment number is multiplied e.g 1 line=x1 2 linesx2 3 lines=x3","mult","same as before. except the number of dots reduces the multiplication factor.","ground_truth","Id be interested to know what the actual rule was."
"114",141,"construct","The number of lines in the egg is the factor by which the number of stick segments multiplies. for example 2 egg lines the stick segments multiplies by 2.","mult","The egg lines are the multiplying factor and the egg dots are a subtraction factor. So if you start with an egg with 3 lines and 1 dot you multiply the sticks by 3 and subtract 1.","ground_truth","no"
"115",142,"construct","The number of segments (i.e. total length) correlates with the number of sticks. If you have an odd numer your segments will be added such that there are odd segments. This is why when an egg with three sticks only increased the length by two sticks to keep the length odd","complex","I think the number of spots and stripes matter for the overall length. If the are more spots than stripes the length of the stick diminishess if there is an equal number no change detected.","complex","This is a really tricky task. The contrast in colours hurt my eyes a bit too."
"116",143,"decon","I think if the dots are contained in a line then it means you dont lose segments. if a dot appears outside a line then you lose the amount value of the dots in segments. if dots and segments match and dots are on lines and theres no difference in value then no change","complex","the red line multiplies it?  and the dots either add or subtract them?","mult","really interesting! was fascinated trying to figure it out!"
"117",144,"construct","It multiplies the stick length by the number of lines in the egg","mult","Multiply by the number of lines and then subtract the number of dots","ground_truth","It was a really different type of experiment which I enjoyed. I am interested in the results of this to see if I am right!"
"118",145,"combine","It multiplies by the number of lines on the egg and the original stick","mult","The number of dots indicate how many sticks will be taken away.","subtraction","Interesting survey"
"119",146,"decon","The stripes may matter more than the dots .","uncertain","more than 1 stripe causes the length to increase.","complex","No."
"120",147,"decon","some of these magic eggs are magnetic","uncertain","the stripes mean how many boxes will remain.","complex","no"
"121",148,"combine","one line in egg has nil effect on length of stick  two lines in an egg doubles the length of  a stick ( which has 2 blocks originally associated with it)  three lines in an egg triples the length of a stick ( which has one block currently associated with it)  ( unsure as of yet as to whether the length of the sticks were different to above would the eggs still have the same properties of eg doubling and tripling length of stick","complex","one dot and one line in egg reduces length of stick by one block 2 dots and one line reduces length of stick by 2 blocks 3 dots and one line reduces length of stick by 3 blocks.","complex","unsure if Ive answered correctly"
"122",149,"combine","You multiply the length of the stick by the number of stripes on each magic egg.","mult","You subtract the number of dots on each magic egg from the sticks. Its possible you still multiply by the stripes by cant be confirmed as all examples only had one stripe.","ground_truth","I enjoyed it."
"123",150,"combine","the eggs can only add 2 blocks of length which is why the first egg did not add anything and the third egg only added 2 blocks of length was because the single stripe does not add any length. This would mean only 2 stripes add length so if there were an egg with 4 stripes it would add 4 blocks of length.","complex","I believe that every 2 stripes bars of length are added. When there are dots on the egg the bars length are subtracted depending on the number of dot.","subtraction","The experiment was difficult."
"124",151,"decon","the dots in the circle a related to the number of blocks in the strip. If one bar in the circle you reduce the strip by the number of dots. If three bars in the circle you add to the strip by the number of dots. If there are two bars in the circle the number in the strip should be the same as number of dots","complex","I feel like my first guess was completely incorrect and I have no idea what the bars or circles in the magic eggs do to the strips","uncertain","I wish I was smarter and could figure out the logic of these eggs"
"125",152,"combine","The length is multiplied by the amount of stripes on the magic egg. 1 stripe remains the same 2 stripes doubles the length and 3 stripes triples the length","mult","The number of dots is how many lengths is removed. 1 dot removes 1 segment 2 dots removes 2 segments and 3 dots removes 3","subtraction","No"
"126",153,"combine","The first egg did nothing.  The second egg with 2 stripes made the stick grow by 2.  The third egg made the stick grow by 2.","add_2","The dots make the stick shorter.","complex","It was interesting."
"127",154,"combine","Number of stripes multiplied by number of blocks = new number of blocks. E.g. 1 stripe x 3 blocks = 3.  then 2 stripes x 2 blocks = 4.","mult","Stripes x blocks then the balls takeaway. E.g. 1 stripe x 3 = 3 minus 3 balls = 0","ground_truth","none"
"128",155,"construct","The magic eggs above two and three - add two lines.","add_2","This now is more difficult - I am uncertain for this one.","uncertain","NA"
"129",156,"combine","stripes do not increase the length of the sticks","uncertain","spots take away sections of sticks 1 spot takes away 1 section 2 spots takes away 2 sections etc","subtraction","It would be interesting to know what it was testing"
"130",157,"construct","Eggs with stripes that equal or exceed the lenght of the stick increase the lenght of the stick by 2 when they come into contact","add_2","Eggs with a number of stripes that are equel to or higher than the length of the stick increase the length by 2. While each dot decreases the length by 1.","add_2","No"
"131",158,"combine","It multiplies by the amount of stripes present","mult","The eggs with the dots decrease the sticks","complex","no"
"132",159,"decon","WHEN THE EGG HAS ONE STRIPE IT CAUSES THE STICKS TO DISAPPEAR ALL TOGETHER WHEN THERE IS TWO STRIPES THE STICKS STAY THE SAME AND WHEN THERE IS THREE STRIPES IT REMOVES ONE STICK","complex","THE FOURTH EGG CAUSES THE STICKS TO STAY THE SAME AMOUNT. THE FIFTH EGG CAUSES THE STICKS TO MULTIPLY BY TWO AND THE SIXTH EGG CAUSES THE STICKS TO LOSE TWO.","complex","I have no further comments."
"133",160,"decon","Equal amount of sticks and spots cause no change. More sticks than spots cause the length to increase and less sticks than spots cause the length to decrease.","complex","the amount of sticks determines how much the length increases by eg if there are three sticks the length will multiply by three.","mult","NA"
"134",161,"decon","3 dots means the sticks disappear 2 dots means 2 sticks 1 dot means add another stick.","complex","Times the number of stripes by the number of sticks to get the number of sticks when they touch.","mult","no"
"135",162,"decon","If there are 2 more sticks than there are dots this adds 1 segment to the stick. If the stick to dot ratio is the same the stick stays the same length and if there are more dots than sticks the stick gets shorter","complex","The amount of blocks after merging is the amount of blocks to start with multiplied by the amount of sticks","mult","Very difficult"
"136",163,"decon","It appears that the dots make the sticks shorter 3 dots made 3 segments of stick disappear the lines seem to make sticks longer but they are weaker two lines could only increase one segment of stick so a line may increase half a segment? This works on the assumption that the dots and lines cancel each other out since in second example two dots and two lines made no change to stick","complex","A line increases a stick by half a segment if it is an odd number of lines and a full segment if it is an even number of lines. A dot cancels out a line and a line cancels out a dot a dot decreases a stick by a full segment","complex","I enjoyed it"
"137",164,"decon","The amount of lines touching 1 dot will equal the amount of segments in the stick i.e. if a dot is touching 2 lines then the stick will be made of 2 segments If multiple dots are touching a line the stick reduces to 0 segments","complex","times the original segment by the number of lines and minus a segment for each dot","mult","NA"
"138",165,"decon","How many dots lie on top of a line","complex","The lines multiplied by the number of segments on the stick minus the number of dots","mult","No."
"139",166,"construct","The number of sticks in the egg has to be larger than the number of segments.","complex","I now think that sticks in the eggs mean addition but that dots in the eggs mean subtraction of the number of segments","complex","Usually Im fairly good at these types of tasks but I found this one confusing and that made me feel a bit frustrated! Perhaps I didnt spend long enough on it or Im a bit tired today. Also I found the long text of instructions at the beginning hard to absorb. Anyway it was still engaging for me!"
"140",167,"combine","the number of lines on the egg causes the degree of how long the stick grows (i.e: 2 lines doubles the length 3 lines triple 1 does nothing or multiplies by 1)","mult","The dots on a egg will decrese the length of a branch by 1 unit and then after that the number of lines will be what the length is multiplied by as shown in the first description (1 line multiply by 1 2 lines multiply by 2","complex","na"
"141",168,"construct","over 1 stick doubles the length","uncertain","no matter the sticks 1 dot doubles 2 dots do nothing 3 or more remove the length","complex","na"
"142",169,"decon","3 dots makes the line shorter 2 dots leaves the line the same lengh 1 dot increases the line","complex","1 line on the egg makes the stick stay the same 2 lines doubles the lengh 3 lines adds 2 to the lengh","complex","no none"
"143",170,"construct","One stick keeps it all the same 2 or more sticks add on 2 blocks","add_2","1 stick with any amount of eggs will take away the blocks 2 sticks with any eggs will do nothing and any more will add","complex","I hope I did alright."
"144",171,"decon","The number of dots on the eggs vs the number of lines on the eggs determines what will happen to the length of the stick.   If the dots outnumber the lines on the egg then the stick will lose however many dots are on the egg.  If the lines outnumber the dots on the egg then the stick will gain however many dots are on the egg.  If both match then nothing happens to the stick.","complex","If the lines on the egg are equal to or greater than the segments of the stick then the stick will gain two segments.","add_2","As the test carried on and I saw more combinations of shapes on the eggs I began to have more questions. Maybe I was over thinking this? Im still unsure what the connections are. Oh well! Either way thank you for this early morning study it was a good one."
"145",172,"construct","My approximate guess is that the number of sticks equals the amount the length of the stick is times by. ie. 1block + 3 sticks = 3 blocks","mult","If the magic egg is touching the stick it is multiplied if its not touching it counts against it.","uncertain","It seemed confusing to read the full statement and then answering the questions was a lot to remember would have been easier if it was broke into two sections."
"146",173,"decon","Equal dots and lines leave the sticks unchanged. More lines than dots adds sticks. More dots than lines removes sticks.","complex","Multiply the number of lines by sticks and that is how many sticks. Then subtract the amount of dots. That is your final answer of how many sticks","mult","I still have no clue how they work."
"147",174,"decon","If there are more dots than lines the stick will reduce. If the number of dots and lines are the same the stick will stay the same. If the number of dots is less than the number of lines the stick will increase","complex","If there is one line the stick stays the same. If there are two lines the stick doubles. If there are three lines the stick triples.","mult","No"
"148",175,"combine","Not sure at all. Odd  even numbered lines in the eggs might have something to do with the way the sticks change.","complex","How ever many dots there are within the egg you would subtract the same number of sticks after the egg hits it.","subtraction","The initial questions were VERY confusing and didnt make sense at all."
"149",176,"construct","An egg with more than 1 stripe adds 2 blocks.","add_2","the dots make the line shorter by their number and the lines increase the ladder when above 1.","complex","I felt like I needed more tests to work it out."
"150",177,"decon","However many lines and dots there are affects the outcome. A magic egg with the same amount of lines and dots as the sticks does not add or subtract. a magic egg that has a dot with more lines than sticks adds the same amount (as the number of dots) onto the stick. A magic egg with less lines the the stick and more dots subtracts the same amount of sticks equal to however many dots there are.","complex","If the number of lines in the magic egg are less than the stick then the stick will stay the same. If the number of lines in the magic egg are the same as the stick then the stick number is doubled. If the number of lines in the magic egg are more than the stick then more is added to the stick so that the lines and stick are the same amount.","complex","No."
"151",178,"construct","That two or more lines on the eggs makes the sticks longer by 2 sections","add_2","Two or more lines on the eggs makes the sticks add two to their length but only if there is one spot on them.","complex","No"
"152",179,"combine","I think the number of lines corresponds to the percentage of stick length there will be. Each line is worth 100. So one line means 100 of the three sticks meaning it doesnt change. Secondly two lines mean 200 so the two sticks double to four. Lastly three lines mean 300 so one stick triples to three.","complex","I still think the lines on the eggs mean the amount the sticks are increasing but with one line the sticks remain the same by showing 100 of what was there. The dots subtract one block for each dot.","subtraction","NA"
"153",180,"decon","The number of black dots determines the number of segments. In this case the sticks seem to be irrellevant in determining how many segments there will be","uncertain","The number of sticks are used as a multiplier for the number of initial segments. If there are 2 initial segments 2 multiplied by 2 sticks is 4 total segments as a result. Furthermore 1 initial segment multiplied by 3 sticks is 3 total segments as a result.","mult","I now realise that the number of sticks will be multiplied by the number of segments and then the number of black dots will be subtracted from the new total of segments. Example 3 sticks 2 black dots and 3 segments. You will multiply 3 by 3 which is 9 and then subtract 2 from 9 to get 7 total segments."
"154",181,"combine","The number of stripes correlates to how many times the original number of segments multiplies by.","mult","The stripe does not appear to have any effect but the spots correlate to how many segments are taken away.","subtraction","no."
"155",182,"decon","The number of dot extends the length of the stick by the number of dots. This is true in all three tests.","uncertain","my guess is wrong I am now confused","uncertain","no"
"156",183,"decon","I currently dont understand the relationship between the spots lines and the lenght change","uncertain","Is the relationship stick will time lenght 3 unless their are magic eggs then they will reduce the times by 1 for each magic egg.","uncertain","Nope"
"157",184,"decon","More lines than dots increases the length of the stick.","complex","Even numbers of lines double the length of the sticks.","complex","none"
"158",185,"combine","The number of segments on the original stick multiplied by the number of stripes on the egg gives you the new number of segments (1x3=3 2x2=4 3x1=3)","mult","Number of segments multiplied by number of lines minus number of spots.","ground_truth","Good experiment"
"159",186,"decon","one stripe = delete as many dots from the sticks  two stripe= sticks equal as many dots  three stripe=add as many dots to the stripes","complex","Times the sticks by the number of dashes subtract the amount of dots","mult","No"
"160",187,"combine","That the magic eggs have to have more than 1 line in order to add more blocks when they touch.","complex","I think that the lines add block and the black spots remove blocks based on how many spots there are.","subtraction","No."
"161",188,"construct","The amount of lines on the egg indicate the multiplication of the stick segments. 1 is 1 x 3 (one line on the egg x 3 segments of the stick) 2 is 2 x 2 and 3 is 3 x 1","mult","So the lines indicate multiplication and the dots indicate subtraction.","ground_truth","It was enjoyable. Thanks I would of loved to have known if i was right to clarify"
"162",189,"decon","There needs to be more sticks than dots on the eggs for the stick to grow.  the same amount of dotssticks mean no growth or shrink more dots than sticks on the egg cause the stick to reduce in length","complex","number of blocks in stick multiplied by how many sticks on egg minus how many dots on egg!","mult","it was enjoyable.  Hopefully I worked out the causal rule!"
"163",190,"construct","1 line has no change on the sticks. 2 lines add 2 sticks 3 lines add 2 sticks","add_2","more that one line adds 2 sticks each dot takes away a stick","add_2","The comprehension questions didnt really make sense."
"164",191,"combine","1 stripe doesnt change the lenght 2 stripes add 2 segments and 3 stripes always create 3 segments","complex","The balls reduce the lenght of 1 for each ball","subtraction","NA"
"165",192,"decon","The first egg made 3 segments of the stick disappear this had one line and 3 dots. The second egg didnt make a change and it had two lines and two dots. The third egg made the stick longer by one segment and it had one dot and three lines. I think that the number of dots if the egg has an odd number of lines corresponds to the change that will happen to the stick. So for example if there is one line and one dot then the stick will lose one segment. If there are three lines and two dots then the stick will increase by two segments. It doesnt matter how many dots are on an egg if there are two lines on it but Im not sure about this part. The sticks segments dots and lines were all the same so that might be an exception.","complex","I think it is that the number of lines on the egg is a multiplication and then the number of dots is a subtraction. So the original number of segments gets multiplied by the number of lines and then you have to minus the number of dots from that number and that equals what the overall number of segments will be.","mult","I am intrigued to know what the relationship is between the eggs and the sticks. I am confident that I worked it out but Im still a little unsure. Thank you!"
